,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
355,35,Jaipuria Lucknow - Jaipuria Institute of Management,78, ₹ 12.50 Lakh, ₹ 6.97 Lakh ,4.1,3.9,3.9,4.4,4.1,4.0,221
356,36,"Chitkara College of Sales and Marketing, Chitkara University, Chandigarh",80, ₹ 2.60 Lakh, ₹ 5.80 Lakh ,4.4,4.3,4.5,4.4,4.3,4.5,8
357,37,Jaipuria Jaipur - Jaipuria Institute of Management,81, ₹ 9.75 Lakh, ₹ 6.64 Lakh ,4.4,4.3,4.5,4.5,4.4,4.3,128
358,38,Jagan Institute of Management Studies,82, ₹ 8.70 Lakh, ₹ 7.10 Lakh ,4.1,4.0,3.9,4.4,4.0,4.1,445
359,39,"Bharathidasan Institute of Management, Trichy (BIM, Trichy)",83, ₹ 12.15 Lakh, ₹ 9.70 Lakh ,4.2,4.3,3.6,4.5,4.3,4.3,33
360,0,NIT Calicut - National Institute of Technology,84, ₹ 1.40 Lakh, ₹ 5.40 Lakh ,4.1,4.0,3.8,3.9,4.3,4.3,267
361,1,"Manipal University, Jaipur",85,, ₹ 8.67 Lakh,4.1,3.4,4.8,4.1,4.6,3.6,472
362,2,Loyola Institute of Business Administration,86, ₹ 3.86 Lakh , ₹ 13.14 Lakh,4.2,4.0,4.3,4.3,4.4,4.4,20
363,3,"Babasaheb Bhimrao Ambedkar University (BBAU), Lucknow",87,, ₹ 11.00 Lakh ,3.5,2.5,3.8,3.7,3.9,3.5,64
364,4,Dayalbagh Educational Institute [DEI],88, ₹ 1.80 Lakh, ₹ 5.70 Lakh ,4.0,3.5,3.6,4.2,3.9,4.6,358
365,5,"School of Petroleum Management, Pandit Deendayal Energy University",89, ₹ 3.50 Lakh , ₹ 8.33 Lakh,3.9,3.5,4.2,3.8,4.1,3.7,30
366,6,IIHMR University,90, ₹ 6.00 Lakh , ₹ 10.50 Lakh,4.3,3.8,4.8,4.5,4.6,4.1,26
367,7,Pune Institute of Business Management,91, ₹ 7.45 Lakh,,4.0,4.4,3.4,4.5,3.7,4.1,130
368,8,"Amity University, Gurugram",92,, ₹ 6.90 Lakh ,4.3,4.0,4.6,4.4,4.4,4.0,410
369,9,Galgotias University,93, ₹ 9.08 Lakh, ₹ 4.50 Lakh ,3.9,3.9,3.9,4.0,4.1,3.8,1364
370,10,UoH - University of Hyderabad,94, ₹ 3.18 Lakh, ₹ 3.20 Lakh ,4.4,3.8,4.3,4.3,4.7,4.7,58
371,11,IMT Nagpur - Institute of Management Technology,95, ₹ 6.00 Lakh , ₹ 12.04 Lakh,4.1,3.6,4.5,4.2,4.4,3.8,284
372,12,"CMS Business School, Jain Deemed-to-be University",96, ₹ 8.04 Lakh , ₹ 10.75 Lakh,4.3,4.1,4.1,4.6,4.6,4.0,23
373,13,Thiagarajar School of Management,96, ₹ 7.87 Lakh , ₹ 7.08 Lakh,4.3,3.9,4.4,4.4,4.2,4.4,70
374,14,"Alliance School of Business, Alliance University",98, ₹ 6.00 Lakh , ₹ 15.00 Lakh,4.0,3.5,4.6,4.1,4.1,3.5,114
375,15,"The Business School, University of Jammu",100, ₹ 7.00 Lakh , ₹ 4.80 Lakh ,4.1,3.4,3.8,4.4,4.2,4.8,18
376,16,Jamia Hamdard,100, ₹ 4.80 Lakh, ₹ 4.15 Lakh ,3.7,3.3,3.9,4.0,3.9,3.6,214
377,17,"Amity University, Jaipur",101-125, ₹ 7.00 Lakh, ₹ 3.91 Lakh ,4.0,3.5,4.5,3.9,4.3,3.7,262
378,18,"Amity University, Mumbai",101-125, ₹ 10.52 Lakh, ₹ 5.80 Lakh ,4.3,4.1,4.5,4.4,4.5,4.0,122
379,19,B.S. Abdur Rahman Crescent Institute of Science and Technology,101-125, ₹ 4.00 Lakh, ₹ 3.50 Lakh ,4.2,3.9,4.4,4.3,4.5,4.1,149
380,20,"Institute of Management and Entrepreneurship Development, Bharati Vidyapeeth",101-125, ₹ 4.50 Lakh, ₹ 6.00 Lakh ,4.3,4.2,4.1,4.5,4.2,4.4,247
381,21,Chandragupt Institute of Management,101-125, ₹ 7.65 Lakh, ₹ 5.00 Lakh ,3.9,3.9,4.4,3.8,3.5,4.1,10
382,22,GLA University,101-125, ₹ 4.35 Lakh,,4.1,4.1,4.2,4.2,4.1,4.0,921
383,23,GJUST-Guru Jambheshwar University of Science And Technology,101-125, ₹ 5.40 Lakh ,,3.9,3.8,4.1,4.0,4.0,3.8,989
384,24,Hindustan Institute of Technology and Science,101-125," ₹ 58,000",,3.6,3.1,3.9,3.7,3.9,3.5,253
385,25,IILM University,101-125, ₹ 3.00 Lakh , ₹ 4.58 Lakh,4.0,3.9,4.3,4.3,4.1,3.7,21
386,26,Indus Business Academy (IBA),101-125, ₹ 3.90 Lakh , ₹ 10.80 Lakh,4.3,4.2,4.2,4.6,4.3,4.3,94
387,27,IPE Hyderabad - Institute of Public Enterprise,101-125, ₹ 8.50 Lakh , ₹ 9.45 Lakh,4.2,3.9,4.7,4.2,4.4,3.9,78
388,28,Jaipuria Indore - Jaipuria Institute of Management,101-125, ₹ 5.80 Lakh, ₹ 8.75 Lakh,4.3,4.2,4.6,4.4,4.3,4.2,132
389,29,National Insurance Academy- NIA,101-125, ₹ 6.50 Lakh , ₹ 9.43 Lakh,4.4,4.6,4.4,4.1,4.4,4.5,17
390,30,New Delhi Institute of Management,101-125, ₹ 7.35 Lakh ,,3.8,3.8,3.6,4.2,3.7,3.8,302
391,31,"Prestige Institute of Management, Gwalior",101-125, ₹ 10.60 Lakh, ₹ 7.50 Lakh ,3.8,3.7,3.5,4.2,3.7,4.0,125
392,32,Reva University,101-125, ₹ 2.25 Lakh, ₹ 5.14 Lakh ,4.2,3.7,4.7,4.1,4.4,4.0,527
393,33,"School of Business Studies (SBS), Sharda University",101-125, ₹ 9.00 Lakh, ₹ 4.66 Lakh ,4.2,3.7,4.5,4.3,4.5,3.9,105
394,34,Shoolini University,101-125, ₹ 6.09 Lakh, ₹ 6.00 Lakh,4.3,4.1,4.5,4.4,4.5,4.2,493
395,35,Shri Mata Vaishno Devi University,101-125, ₹ 3.30 Lakh, ₹ 4.33 Lakh ,3.8,3.2,4.3,3.6,4.0,3.6,71
396,36,SKCET - Sri Krishna College of Engineering and Technology,101-125," ₹ 35,000", ₹ 5.50 Lakh ,4.3,4.1,4.6,4.1,4.5,4.0,113
397,37,St. Joseph's Institute of Management,101-125, ₹ 8.40 Lakh, ₹ 6.50 Lakh ,4.5,4.2,4.7,4.7,4.5,4.4,53
398,38,"Xavier Institute of Management and Entrepreneurship, Bangalore",101-125, ₹ 12.00 Lakh, ₹ 7.50 Lakh ,3.5,3.5,3.3,3.6,3.8,3.4,75
399,0,"All India Institute of Medical Sciences, Delhi",1," ₹ 6,075"," ₹ 6,440",4.6,4.5,4.4,4.6,4.6,4.7,48
400,1,"Postgraduate Institute of Medical Education and Research, Chandigarh",2, ₹ 7.53 Lakh ," ₹ 13,500",4.7,4.3,4.7,5.0,4.7,5.0,3
401,2,"Christian Medical College, Vellore",3, ₹ 1.80 Lakh ," ₹ 12,200",4.6,4.5,4.6,4.8,4.5,4.6,13
402,3,National Institute of Mental Health and Neurosciences,4, ₹ 1.34 Lakh, ₹ 11.00 Lakh ,4.2,5.0,5.0,4.0,2.0,5.0,1059
403,4,BHU - Banaras Hindu University,5," ₹ 6,600", ₹ 12.00 Lakh ,4.2,3.8,4.1,4.2,4.5,4.6,16
404,5,JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research,6, ₹ 1.05 Lakh, ₹ 22.00 Lakh ,4.6,4.4,4.6,4.8,4.4,4.9,31
405,6,Sanjay Gandhi Postgraduate Institute of Medical Sciences,7, ₹ 3.35 Lakh, ₹ 5.21 Lakh ,4.6,4.5,4.7,4.7,4.7,4.5,41
406,7,"Amrita Center for Nanoscience and Molecular Medicine, Amrita Vishwa Vidyapeetham - Kochi Campus",8, ₹ 1.77 Lakh, ₹ 23.00 Lakh ,4.6,4.5,4.6,4.6,4.7,4.8,2
407,8,Sree Chitra Tirunal Institute for Medical Sciences and Technology,9, ₹ 11.48 Lakh, ₹ 10.80 Lakh ,4.6,3.0,5.0,5.0,5.0,5.0,11
408,9,"Kasturba Medical College, Manipal, Manipal Academy of Higher Education",10," ₹ 81,000", ₹ 1.00 Lakh ,4.3,4.5,4.5,4.5,4.5,3.9,17
409,10,KGMU - King George's Medical University,11," ₹ 68,018", ₹ 7.20 Lakh ,4.4,4.1,4.7,4.7,4.5,4.1,12
410,11,"Madras Medical College, Chennai",12, ₹ 2.10 Lakh, ₹ 24.75 Lakh,4.6,4.8,4.8,4.8,3.6,5.0,51
411,12,ILBS Delhi - Institute of Liver and Biliary Sciences,13, ₹ 3.60 Lakh , ₹ 1.08 Crores,3.8,3.2,4.0,4.1,4.0,3.7,339
412,13,St. John’s National Academy of Health Sciences,14, ₹ 9.01 Lakh ," ₹ 24,102",4.2,4.0,4.4,4.3,4.3,4.0,39
413,14,Sri Ramachandra Institute of Higher Education and Research,15, ₹ 11.03 Lakh , ₹ 20.25 Lakh,4.4,4.3,4.3,4.6,4.3,4.6,21
414,15,AIIMS Jodhpur - All India Institute of Medical Sciences,16, ₹ 7.20 Lakh , ₹ 6.10 Lakh,4.6,4.5,4.6,4.8,4.8,4.3,20
415,16,"Dr. D.Y. Patil Vidyapeeth, Pune",17, ₹ 4.00 Lakh ," ₹ 67,500",4.7,4.8,4.7,4.7,4.6,4.9,481
416,17,SOA - Siksha 'O' Anusandhan University,18," ₹ 96,000 ", ₹ 1.25 Crores,4.3,3.6,4.4,4.4,4.3,4.7,73
417,18,Vardhman Mahavir Medical College,19, ₹ 6.40 Lakh ," ₹ 40,500",4.6,4.6,4.2,4.8,4.6,5.0,14
418,19,SRM Medical College Hospital and Research Centre,20, ₹ 5.52 Lakh ," ₹ 57,735",4.4,4.3,4.5,4.4,4.6,4.1,4
419,20,Institute of Post Graduate Medical Education and Research,21, ₹ 7.80 Lakh ," ₹ 24,448",4.0,4.0,4.3,4.0,4.0,3.8,7
420,21,Aligarh Muslim University,22, ₹ 6.25 Lakh, ₹ 4.20 Lakh ,4.6,4.9,4.3,4.6,4.6,4.7,9
421,22,Maulana Azad Medical College,23, ₹ 14.80 Lakh , ₹ 1.13 Lakh,4.4,4.6,4.3,4.3,4.3,4.7,42
422,23,DMIMSU - Datta Meghe Institute of Medical Sciences,24," ₹ 1,080", ₹ 12.50 Lakh ,4.5,4.7,4.2,4.5,4.5,4.8,20
423,24,"Saveetha Institute of Medical and Technical Sciences, Poonamallee",25," ₹ 6,098", ₹ 1.00 Lakh ,4.5,4.6,3.9,4.6,4.6,4.9,33
424,25,"All India Institute of Medical Sciences, Bhubaneswar",26, ₹ 8.25 Lakh, ₹ 16.00 Lakh ,4.3,4.4,4.4,4.3,4.4,4.0,313
425,26,GMCH Chandigarh - Government Medical College and Hospital,27, ₹ 1.00 Lakh, ₹ 3.60 Lakh ,4.0,3.6,4.2,4.1,4.2,3.8,214
426,27,"University College of Medical Sciences, University of Delhi",28, ₹ 4.80 Lakh, ₹ 3.90 Lakh ,3.7,3.3,3.9,4.0,3.9,3.6,
427,28,Lady Hardinge Medical College,29," ₹ 64,300", ₹ 8.20 Lakh ,4.1,4.3,4.0,4.2,4.0,4.0,21
428,29,KIMS - Kalinga Institute of Medical Sciences,30, ₹ 20.00 Lakh, ₹ 8.40 Lakh ,4.5,4.3,4.7,4.7,4.3,4.3,3
429,30,"Maharishi Markandeshwar University, Mullana",32, ₹ 33.00 Lakh, ₹ 3.60 Lakh ,3.9,4.0,3.5,4.0,4.1,3.8,15
430,31,Jamia Hamdard,33, ₹ 6.35 Lakh, ₹ 6.80 Lakh ,4.3,4.1,4.4,4.6,4.3,4.2,15
431,32,"JSS Medical College, JSS Academy of Higher Education and Research",34, ₹ 8.00 Lakh, ₹ 3.60 Lakh ,3.8,3.3,3.8,4.3,4.0,3.8,4
432,33,PSG Institute of Medical Sciences and Research,35, ₹ 11.00 Lakh, ₹ 4.32 Lakh ,4.2,4.3,4.5,4.3,3.8,4.3,4
433,34,Christian Medical College & Hospital Ludhiana,36," ₹ 82,350", ₹ 10.58 Lakh ,4.5,4.6,4.2,4.4,4.5,4.7,25
