,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
71,31,"College of Engineering, Andhra University",77, ₹ 5.50 Lakh , ₹ 6.50 Lakh,4.0,3.5,3.8,4.0,4.3,4.2,218
72,32,IIITM Gwalior - Indian Institute of Information Technology and Management,78, ₹ 19.99 Lakh ,,3.9,3.9,4.3,3.5,3.9,4.0,67
73,33,Netaji Subhas University of Technology,79, ₹ 3.22 Lakh, ₹ 13.00 Lakh ,3.9,4.2,3.7,3.7,3.9,4.1,663
74,34,NIT Agartala - National Institute of Technology,80, ₹ 5.00 Lakh, ₹ 6.00 Lakh ,4.1,3.8,4.4,3.7,4.2,4.1,218
75,35,IIIT Bangalore - International Institute of Information Technology,81, ₹ 22.40 Lakh, ₹ 20.10 Lakh ,4.6,4.9,4.8,4.8,4.3,4.3,12
76,36,IIITDM Jabalpur - Indian Institute of Information Technology Design and Manufacturing,82, ₹ 5.22 Lakh, ₹ 8.00 Lakh ,4.2,3.8,4.3,4.1,4.3,4.4,172
77,37,BMS College of Engineering,83, ₹ 38.00 Lakh, ₹ 8.00 Lakh ,4.2,4.2,4.1,4.2,4.4,4.3,281
78,38,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology,84, ₹ 10.00 Lakh, ₹ 4.20 Lakh ,4.0,3.9,4.1,3.9,4.1,4.0,334
79,39,Thiagarajar College of Engineering,85," ₹ 68,800", ₹ 4.50 Lakh ,4.3,4.2,4.1,4.3,4.5,4.5,121
80,0,Indian Institute of Food Processing Technology,86, ₹ 5.13 Lakh, ₹ 3.30 Lakh ,4.1,3.3,4.7,4.3,4.1,4.3,20
81,1,"Punjab Engineering College, Chandigarh",87, ₹ 7.04 Lakh, ₹ 9.00 Lakh ,4.0,4.1,3.6,3.7,4.4,4.1,281
82,2,NIT Goa - National Institute of Technology,88, ₹ 5.00 Lakh, ₹ 6.50 Lakh ,3.7,3.9,3.0,4.0,3.6,3.8,44
83,3,R.V. College of Engineering,89, ₹ 3.34 Lakh, ₹ 8.00 Lakh ,4.2,4.5,4.0,3.9,4.2,4.2,330
84,4,NIT Jamshedpur - National Institute of Technology,90, ₹ 5.00 Lakh, ₹ 7.50 Lakh ,4.0,4.4,3.6,3.6,4.2,4.1,468
85,5,SR Engineering College,91, ₹ 4.37 Lakh, ₹ 4.50 Lakh ,3.9,3.7,4.1,4.0,4.1,3.7,162
